Fichier_Embeddings_Filtrés,Solution_optimale,Meilleur_fitness,Dimensions_depart,Nombre d'éléments,Nombre_voisins,Nombre_itérations,epsilon,beta,alpha,Temps d'exécution,Dimensions_supprimées
embeddings_filtrés(result_L-YP-130_100d)(1).txt,"[False, True, False, True, False, False, True, False, False, True, True, False, False, True, True, True, True, True, False, True, False, True, False, True, True, False, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True, False, True, False, True, True, False, False, False, False, True, False, True, False, True, False, False, False, False, False, False, False, True, False, True, False, False, True, False, True, False, False, True, True, True, False, True, False, False, False, True, True, False, True, False, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",32.14862752772342,100,147,20,10,0.001,0.3,0.3,241.12368059158325,54
embeddings_filtrés(result_L-YP-130_100d)(2).txt,"[False, True, True, True, False, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, True, False, True, False, True, False, False, True, True, True, False, True, True, False, False, False, False, True, True, False, True, False, False, True, False, False, False, False, True, False, True, True, True, False, False, False, False, False, False, False, True, False, True, True, False, False, True, True, False, False, True, True, True, False, False, False, False, False, False, True, True, False, True, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",27.630649147330168,100,147,20,10,0.001,0.4,0.3,239.90919756889343,54
embeddings_filtrés(result_L-YP-130_100d)(3).txt,"[False, False, False, True, True, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, False, False, True, False, True, True, True, False, True, True, False, False, False, True, True, True, False, True, True, False, True, False, False, False, False, True, False, True, False, True, False, False, False, False, False, True, False, True, True, True, False, False, False, False, True, False, True, False, True, True, True, False, False, False, False, True, True, False, False, True, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",23.12010716615413,100,147,20,10,0.001,0.5,0.3,240.828955411911,54
embeddings_filtrés(result_L-YP-130_100d)(4).txt,"[False, False, False, True, False, False, True, True, True, True, True, False, False, False, True, True, True, True, False, True, True, True, True, False, True, False, False, False, False, True, True, True, False, True, True, True, False, False, False, True, True, False, True, True, False, True, False, False, False, False, True, False, True, False, True, False, False, False, False, True, False, False, True, False, True, False, False, False, False, True, False, False, False, True, True, False, False, False, True, True, True, True, False, False, False, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",18.603899357003073,100,147,20,10,0.001,0.6000000000000001,0.3,236.7419891357422,54
embeddings_filtrés(result_L-YP-130_100d)(5).txt,"[False, False, True, True, False, False, True, False, True, True, True, False, False, True, True, True, True, True, False, True, False, True, False, False, True, False, False, False, False, True, True, True, False, True, True, False, True, False, False, True, True, False, True, True, False, True, False, False, False, False, True, False, True, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, False, True, False, False, False, True, True, False, False, False, False, False, False, True, True, False, False, True, False, True, True, True, False, True, True, False, False, True, False, True, True, False]",14.086778305842877,100,147,20,10,0.001,0.7000000000000002,0.3,237.84228563308716,54
embeddings_filtrés(result_L-YP-130_100d)(6).txt,"[False, False, False, True, False, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, False, True, False, False, False, False, True, True, True, False, True, False, False, False, False, False, False, False, True, False, True, False, False, False, False, True, False, False, True, True, True, False, True, False, False, False, True, True, False, False, False, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",32.14556164383561,100,147,20,10,0.001,0.3,0.4,242.77149605751038,54
embeddings_filtrés(result_L-YP-130_100d)(7).txt,"[False, False, True, True, False, True, True, True, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, True, True, False, False, True, True, True, False, True, True, False, True, False, False, True, True, False, True, False, False, True, False, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, True, False, True, False, False, True, False, True, False, False, False, True, True, False, False, False, False, False, False, True, True, False, False, True, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",27.635066256639643,100,147,20,10,0.001,0.4,0.4,238.2223927974701,54
embeddings_filtrés(result_L-YP-130_100d)(8).txt,"[False, False, False, True, True, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True, False, True, False, False, True, True, False, False, False, True, False, True, True, True, False, False, False, False, False, False, False, True, False, True, False, False, False, False, True, False, False, False, True, True, True, False, True, False, False, True, True, False, False, False, True, False, True, True, True, False, True, True, False, False, True, True, False, True, False]",23.119082098592862,100,147,20,10,0.001,0.5,0.4,238.4717836380005,54
embeddings_filtrés(result_L-YP-130_100d)(9).txt,"[False, True, False, True, False, False, True, False, False, True, True, False, True, False, True, True, True, True, False, True, False, True, False, False, True, True, False, False, False, True, True, True, False, True, True, False, False, False, False, True, True, True, True, False, False, True, False, True, False, False, True, False, True, False, True, False, False, False, True, False, False, False, True, False, True, False, False, False, False, True, False, False, False, True, True, False, False, True, False, False, False, True, False, False, True, False, True, True, True, True, False, True, True, True, False, True, False, False, True, False]",18.60498033734041,100,147,20,10,0.001,0.6000000000000001,0.4,238.10518598556519,54
embeddings_filtrés(result_L-YP-130_100d)(10).txt,"[False, False, False, True, False, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, False, False, False, False, True, True, True, False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, True, True, False, True, False, True, False, True, False, False, False, False, False, False, False, True, False, True, False, True, False, False, True, False, False, False, True, True, True, False, False, False, False, True, True, False, True, True, False, False, True, True, True, False, True, True, False, False, True, False, False, True, False]",14.087393346379638,100,147,20,10,0.001,0.7000000000000002,0.4,238.38478136062622,54
embeddings_filtrés(result_L-YP-130_100d)(11).txt,"[True, False, False, True, False, False, True, True, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, True, False, False, False, True, True, True, False, True, True, False, False, False, False, True, True, False, True, False, True, True, False, False, False, False, True, True, True, False, True, False, False, False, False, False, False, True, True, False, True, False, False, False, False, True, True, False, True, True, True, False, False, False, False, False, False, True, False, False, False, True, False, True, True, True, True, True, True, False, False, True, False, False, True, False]",32.149345075016306,100,147,20,10,0.001,0.3,0.5,237.18459391593933,54
embeddings_filtrés(result_L-YP-130_100d)(12).txt,"[False, False, False, True, False, False, True, False, False, True, True, False, False, False, True, True, True, True, False, True, False, True, False, False, True, False, False, True, False, True, True, True, True, True, True, False, False, False, False, True, True, True, True, False, False, True, False, False, False, False, True, False, True, True, True, False, False, False, False, True, True, True, True, False, True, False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, True, False, True, False, True, False, True, True, True, True, True, True, False, False, True, False, False, True, False]",27.630760972882303,100,147,20,10,0.001,0.4,0.5,237.7403483390808,54
