Fichier_Embeddings_Filtrés,Solution_optimale,Meilleur_fitness,Dimensions_depart,Nombre d'éléments,Nombre_voisins,Nombre_itérations,epsilon,beta,alpha,Temps d'exécution,Dimensions_supprimées
embeddings_filtrés(result_C-MTurk-287_100d)(1).txt,"[False, True, False, False, True, False, True, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, False, True, True, False, True, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, True, False, False, True, False, False, False, False, True, True, False, False, False, True, True, True, False, True, False, False, False, True, False, False, False, True, False, True, True, False, False, True, False, True, False, False, False, True, False, False, False, False, True, False, True, False, False, False, True, False, True, False, True, False, True]",27.33349134413405,100,499,20,10,0.001,0.3,0.3,2847.5921359062195,61
embeddings_filtrés(result_C-MTurk-287_100d)(2).txt,"[False, False, False, False, False, False, True, True, False, True, False, True, True, True, False, False, False, False, True, True, False, False, False, False, True, False, True, False, True, True, False, False, False, False, False, False, True, True, False, False, False, False, True, True, False, False, False, False, True, False, False, False, False, True, False, False, False, True, True, False, True, False, True, False, True, True, True, True, True, False, True, False, True, True, False, False, True, False, True, True, False, False, True, False, False, False, False, False, False, True, False, False, False, True, False, True, False, True, True, False]",23.51645816935075,100,499,20,10,0.001,0.4,0.3,2842.849553346634,61
embeddings_filtrés(result_C-MTurk-287_100d)(3).txt,"[False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, False, False, True, False, True, True, True, True, False, False, False, False, True, False, True, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, True, True, True, True, False, False, True, True, False, False, True, True, True, True, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False, True, False, True, False, True, False, True, False, True, False, False]",19.70096864411554,100,499,20,10,0.001,0.5,0.3,2850.7058794498444,61
embeddings_filtrés(result_C-MTurk-287_100d)(4).txt,"[False, True, False, False, False, False, True, True, True, True, False, True, True, True, False, False, False, False, True, True, False, False, False, False, True, False, True, False, True, True, False, True, False, False, False, False, True, True, False, True, False, False, False, True, False, False, False, True, True, False, False, False, False, True, False, False, False, False, True, False, True, False, True, False, True, False, True, False, False, False, True, False, True, True, False, False, True, False, True, False, True, False, False, False, True, False, True, False, False, True, False, False, False, True, False, True, False, True, False, False]",15.88123287538933,100,499,20,10,0.001,0.6000000000000001,0.3,2898.8152561187744,61
embeddings_filtrés(result_C-MTurk-287_100d)(5).txt,"[False, False, False, False, False, False, True, True, True, True, False, True, True, True, False, False, False, False, True, True, True, False, False, False, True, False, True, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, False, True, False, True, False, False, True, False, False, False, False, True, True, True, False, True, False, True, False, True, False, False, False, True, False, True, True, False, False, True, False, True, False, False, False, False, True, False, True, False, False, False, True, False, False, True, True, False, True, False, True, False, False]",12.06325564381775,100,499,20,10,0.001,0.7000000000000002,0.3,2890.8445982933044,61
embeddings_filtrés(result_C-MTurk-287_100d)(6).txt,"[False, False, True, False, False, True, True, True, False, True, False, True, True, True, False, False, False, True, True, True, False, False, False, False, True, False, True, False, True, True, False, False, False, False, True, False, True, False, False, False, True, False, False, True, False, False, False, True, True, False, False, False, False, True, False, False, False, False, True, False, True, False, True, False, True, True, True, False, True, False, True, False, True, True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True, False, True, False, True, False, False]",27.335491328037598,100,499,20,10,0.001,0.3,0.4,2848.6521809101105,61
embeddings_filtrés(result_C-MTurk-287_100d)(7).txt,"[False, True, False, False, False, False, True, True, False, True, False, True, True, True, True, False, False, False, True, True, False, False, True, False, True, False, True, False, True, True, False, False, False, False, True, False, True, False, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True, False, False, False, False, True, False, True, False, True, False, False, False, True, False, False, False, True, False, True, True, False, False, True, True, True, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, False, True, False, True, False, False]",23.515878697153344,100,499,20,10,0.001,0.4,0.4,2842.4012916088104,61
embeddings_filtrés(result_C-MTurk-287_100d)(8).txt,"[True, True, False, False, False, True, True, True, False, True, False, True, True, True, False, False, False, False, True, True, False, True, False, False, True, False, True, True, True, True, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True, True, False, False, False, True, False, True, False, True, False, False, True, True, False, False, False, True, False, True, True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True, False, True, False, True, False, True]",19.698268464640122,100,499,20,10,0.001,0.5,0.4,2838.6637210845947,61
embeddings_filtrés(result_C-MTurk-287_100d)(9).txt,"[False, False, False, False, False, False, True, True, False, True, True, True, True, True, False, False, False, False, True, True, False, False, False, False, True, False, True, False, True, True, False, False, False, False, False, True, True, False, True, False, False, False, False, True, False, False, False, False, True, False, True, False, False, True, False, False, False, False, True, True, True, False, True, False, False, False, True, False, False, True, True, False, True, True, True, True, True, False, True, False, False, False, False, False, True, False, False, False, False, True, True, False, False, True, False, True, False, True, False, False]",15.881075130180037,100,499,20,10,0.001,0.6000000000000001,0.4,2839.2599816322327,61
embeddings_filtrés(result_C-MTurk-287_100d)(10).txt,"[False, False, False, True, False, False, True, True, True, True, True, True, True, True, False, True, False, False, True, True, True, False, False, False, True, False, True, False, True, True, False, False, False, True, False, True, True, False, True, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, False, False, False, True, False, True, False, True, False, False, False, True, False, False, False, True, False, True, True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, True, True, False, True, False, True, False, True, False, True, False, False]",12.063407755269568,100,499,20,10,0.001,0.7000000000000002,0.4,2841.527556657791,61
